Username,Handle,Timestamp,Comments,Responding,Text,Reply,Retweet,Likes
Save the Rhino International,@savetherhino,2019-08-31T14:00:18.000Z,"Vietnam is a country with high demand for rhino horn. 
In 2016, we went to Vietnam with 
@edu4naturevn
 and 
@PaulBlackthorne
 find out why. #illegalwildlifetrade #savetherhino",,"Vietnam is a country with high demand for rhino horn. 
In 2016, we went to Vietnam with 
@edu4naturevn
 and 
@PaulBlackthorne
 find out why. #illegalwildlifetrade #savetherhino",1.0,47.0,62
RhinoForce,@HemRhinoForce,2019-08-31T04:30:09.000Z,"Our teams in #Zimbabwe conducted a very successful ear notching exercise, together with our local partners and parks authorities.

Full documentary in the making - stay tuned to learn more!

#hemmersbachrhinoforce #antipoaching #zambezivalley #savetherhino #africa #earnotching",,"Our teams in #Zimbabwe conducted a very successful ear notching exercise, together with our local partners and parks authorities.

Full documentary in the making - stay tuned to learn more!

#hemmersbachrhinoforce #antipoaching #zambezivalley #savetherhino #africa #earnotching",1.0,12.0,57
Ginger Blonde,@neocentia,2019-08-28T21:59:28.000Z,#SidesOfAHorn #Conservation #SaveTheRhino,"Quote Tweet
Sides of a Horn
@sidesofahorn
·
Aug 26, 2019
If you haven’t seen #SidesofaHorn yet, you can watch it now for free at http://rhinomovie.com. Please share the film, and help us continue to spread the message!","#SidesOfAHorn #Conservation #SaveTheRhinoQuote Tweet
Sides of a Horn
@sidesofahorn
·
Aug 26, 2019
If you haven’t seen #SidesofaHorn yet, you can watch it now for free at http://rhinomovie.com. Please share the film, and help us continue to spread the message!",,2.0,1
Emma-Jo Pereira,@EmmaJoPereira,2019-08-28T19:12:18.000Z,"First #RhinoRunClub today and 5 miles complete!
Soon to be a 
@savetherhino
 Wednesday feature  #running #savetherhino",,"First #RhinoRunClub today and 5 miles complete!
Soon to be a 
@savetherhino
 Wednesday feature  #running #savetherhino",,2.0,8
Bhejane Adventures,@BhejaneA,2019-08-28T18:52:34.000Z,"2 current contrasting tours:
Kaokoland,Desert Rivers Namibia and 
Big Game to Coral Coast,Mozambique 
@esma_marnewick
 #menseselense 
#namibia #4x4 #safari 
#mozambique rextherhinoafrica 
#savetherhino #bhejane… https://instagram.com/p/B1t-i2vJAa3/?igshid=18gtuyf3ivpr9…",,"2 current contrasting tours:
Kaokoland,Desert Rivers Namibia and 
Big Game to Coral Coast,Mozambique 
@esma_marnewick
 #menseselense 
#namibia #4x4 #safari 
#mozambique rextherhinoafrica 
#savetherhino #bhejane… https://instagram.com/p/B1t-i2vJAa3/?igshid=18gtuyf3ivpr9…",,,
ITD Print Solutions,@itd_print,2019-08-28T17:42:54.000Z,"There's a reason why you can't beat a Rhino!  Email us at sales@itdprintsolutions.com and see how our Rhinotek brand can save you thousands a year in printer ink and toner costs!
#womanowned
#rhinotek
#savetherhino
 https://today.com/video/rhino-charges-and-flips-zoo-car-in-alarming-video-67636805717… via 
@nbcnews",,"There's a reason why you can't beat a Rhino!  Email us at sales@itdprintsolutions.com and see how our Rhinotek brand can save you thousands a year in printer ink and toner costs!
#womanowned
#rhinotek
#savetherhino
 https://today.com/video/rhino-charges-and-flips-zoo-car-in-alarming-video-67636805717… via 
@nbcnews",,,
Hon. Min. of hot wings,@JasonMcCall01,2019-08-28T15:57:24.000Z,Careful what is prescribed over there as treatments.... #savetherhino,,Careful what is prescribed over there as treatments.... #savetherhino,,,
The Boucher Legacy,@BoucherLegacy,2019-08-28T13:00:07.000Z,"Every year that the poaching crisis continues, brings us closer to a tipping point where the number of rhinos being poached outnumbers live births. This is why rhino orphanages are key saving these incredible animals:  #SaveTheRhino #TheBoucherLegacy http://bit.ly/2KX1Znu","1
4","Every year that the poaching crisis continues, brings us closer to a tipping point where the number of rhinos being poached outnumbers live births. This is why rhino orphanages are key saving these incredible animals:  #SaveTheRhino #TheBoucherLegacy http://bit.ly/2KX1Znu1
4",,1.0,4
Elite Spirits,@EliteSpiritsDel,2019-08-28T11:35:26.000Z,"Weekend Forecast: 100% chance of The @Royal_Rhino African Cream Liqueur.

.
.
#elitespirits #royalrhinocreams #creamliquor #vanilla #coffee #liquorprofile #delhigram #delhiwines #rhinopreservation #savetherhino #coffeeliquor #southafrican #delhiwinebloggers #gurugrambloggers",,"Weekend Forecast: 100% chance of The @Royal_Rhino African Cream Liqueur.

.
.
#elitespirits #royalrhinocreams #creamliquor #vanilla #coffee #liquorprofile #delhigram #delhiwines #rhinopreservation #savetherhino #coffeeliquor #southafrican #delhiwinebloggers #gurugrambloggers",,,
S.P.O.T.S,@SPOTS42743819,2019-08-28T00:55:00.000Z,What is it that drives anti-poaching units to do the work they do? - http://wildlife-trafficking-stories.com/on-the-frontline/… #savetherhino #poaching #conservation,"1
1","What is it that drives anti-poaching units to do the work they do? - http://wildlife-trafficking-stories.com/on-the-frontline/… #savetherhino #poaching #conservation1
1",,1.0,1
S.P.O.T.S,@SPOTS42743819,2019-08-28T00:40:00.000Z,Australia to ban local ivory and rhino horn trade amid concerns it legitimizes illegal poaching - https://abc.net.au/news/2019-08-22/australia-bans-local-ivory-and-rhino-horn-trade/11437822… #savetherhino #poaching #conservation,"abc.net.au
Australia to ban local ivory and rhino horn trade
Up to 50,000 elephants and around 1,000 rhinos are killed worldwide each year for their ivory and horns, and Australia wants to put an end to local sales.","Australia to ban local ivory and rhino horn trade amid concerns it legitimizes illegal poaching - https://abc.net.au/news/2019-08-22/australia-bans-local-ivory-and-rhino-horn-trade/11437822… #savetherhino #poaching #conservationabc.net.au
Australia to ban local ivory and rhino horn trade
Up to 50,000 elephants and around 1,000 rhinos are killed worldwide each year for their ivory and horns, and Australia wants to put an end to local sales.",,3.0,2
S.P.O.T.S,@SPOTS42743819,2019-08-27T19:35:00.000Z,What is it that drives anti-poaching units to do the work they do? - http://wildlife-trafficking-stories.com/on-the-frontline/… #savetherhino #poaching #conservation,1,What is it that drives anti-poaching units to do the work they do? - http://wildlife-trafficking-stories.com/on-the-frontline/… #savetherhino #poaching #conservation1,,1.0,
S.P.O.T.S,@SPOTS42743819,2019-08-27T19:05:00.000Z,Australia to ban local ivory and rhino horn trade amid concerns it legitimizes illegal poaching - https://abc.net.au/news/2019-08-22/australia-bans-local-ivory-and-rhino-horn-trade/11437822… #savetherhino #poaching #conservation,"abc.net.au
Australia to ban local ivory and rhino horn trade
Up to 50,000 elephants and around 1,000 rhinos are killed worldwide each year for their ivory and horns, and Australia wants to put an end to local sales.","Australia to ban local ivory and rhino horn trade amid concerns it legitimizes illegal poaching - https://abc.net.au/news/2019-08-22/australia-bans-local-ivory-and-rhino-horn-trade/11437822… #savetherhino #poaching #conservationabc.net.au
Australia to ban local ivory and rhino horn trade
Up to 50,000 elephants and around 1,000 rhinos are killed worldwide each year for their ivory and horns, and Australia wants to put an end to local sales.",,4.0,6
S.P.O.T.S,@SPOTS42743819,2019-08-27T18:40:00.000Z,Medicinal Value - Does or doesn't the horn have curative powers? https://rhinoreview.org/all-about-horn/?p=medical-value… #savetherhino #poaching #conservation,"rhinoreview.org
All about horn - Rhino Review","Medicinal Value - Does or doesn't the horn have curative powers? https://rhinoreview.org/all-about-horn/?p=medical-value… #savetherhino #poaching #conservationrhinoreview.org
All about horn - Rhino Review",,2.0,
S.P.O.T.S,@SPOTS42743819,2019-08-27T18:19:00.000Z,Crime syndicates in Hong Kong blamed for multi-billion-dollar wildlife trade threatening species extinction - https://saikungbuzz.hk/2019/08/crime-syndicates-in-hong-kong-blamed-for-multi-billion-dollar-wildlife-trade-threatening-species-extinction… #savetherhino #conservation #poaching,"4
1","Crime syndicates in Hong Kong blamed for multi-billion-dollar wildlife trade threatening species extinction - https://saikungbuzz.hk/2019/08/crime-syndicates-in-hong-kong-blamed-for-multi-billion-dollar-wildlife-trade-threatening-species-extinction… #savetherhino #conservation #poaching4
1",,4.0,1
Chris Fraser,@chrisfraser8,2019-08-24T20:51:51.000Z,"Can’t wait for tomorrow #Hertfordshire100  #blacksheepcycling #fizik #thetribeway #cycling #roadbike #Merida #WWF #savetherhino 
@WWF
 @hertscc",Strava and 2 others,"Can’t wait for tomorrow #Hertfordshire100  #blacksheepcycling #fizik #thetribeway #cycling #roadbike #Merida #WWF #savetherhino 
@WWF
 @hertsccStrava and 2 others",,,
RhinoForce,@HemRhinoForce,2019-08-24T20:49:05.000Z,"This is how we love to see rhinos! Healthy and charging forward! Amazing picture, taken during the latest sperm collection.

Learn more about the Cryo Vault project at https://buff.ly/2ZfqHZ8

#hemmersbachrhinoforce #antipoaching #rhinoforce #savetherhino #africa #cryovault",,"This is how we love to see rhinos! Healthy and charging forward! Amazing picture, taken during the latest sperm collection.

Learn more about the Cryo Vault project at https://buff.ly/2ZfqHZ8

#hemmersbachrhinoforce #antipoaching #rhinoforce #savetherhino #africa #cryovault",1.0,2.0,11
ITD Print Solutions,@itd_print,2019-08-24T19:15:26.000Z,"Email us at sales@itdprintsolutions.com today and start saving on the ink and toner you buy most! #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality
#quality
#savetheworld",,"Email us at sales@itdprintsolutions.com today and start saving on the ink and toner you buy most! #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality
#quality
#savetheworld",,,
Ellie Leaning,@ellie_leaning,2019-08-24T11:13:09.000Z,So exciting #savetherhino ,"Quote Tweet
Ol Pejeta
@OlPejeta
·
Aug 23, 2019
Yesterday, August 22nd, 2019, was an incredibly exciting day. 
As you know, our girls Najin and Fatu are the last two northern white rhinos on the planet.
Show this thread","So exciting #savetherhino Quote Tweet
Ol Pejeta
@OlPejeta
·
Aug 23, 2019
Yesterday, August 22nd, 2019, was an incredibly exciting day. 
As you know, our girls Najin and Fatu are the last two northern white rhinos on the planet.
Show this thread",,,
Marky,@MRRyan37,2019-08-24T07:41:19.000Z,"#SaveTheRhino  New hope for near-extinct northern white rhino as vets harvest eggs from last two females #WildlifeConservation 
http://news.sky.com/story/new-hope-for-near-extinct-northern-white-rhino-as-vets-harvest-eggs-from-last-two-females-11792085…",,"#SaveTheRhino  New hope for near-extinct northern white rhino as vets harvest eggs from last two females #WildlifeConservation 
http://news.sky.com/story/new-hope-for-near-extinct-northern-white-rhino-as-vets-harvest-eggs-from-last-two-females-11792085…",,,
Chris Palmer,@cpalmerz12,2019-08-24T00:13:42.000Z,*scamwarning* #scam #fakecharities #rhino #savetherhino,,*scamwarning* #scam #fakecharities #rhino #savetherhino,,,
ITD Print Solutions,@itd_print,2019-08-23T19:04:11.000Z,"Quality ink and toner along with award-winning customer service!  Try our exclusive Rhinotek brand today!  Sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge",,"Quality ink and toner along with award-winning customer service!  Try our exclusive Rhinotek brand today!  Sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge",,,
Rhino Tears,@Rhino_Tears,2019-08-22T16:32:30.000Z,"Rhino fig leaf footprints... 

#nonprofit #fundraising #savetherhino #giftsforall #TearsForRhino",,"Rhino fig leaf footprints... 

#nonprofit #fundraising #savetherhino #giftsforall #TearsForRhino",,1.0,2
The Boucher Legacy,@BoucherLegacy,2019-08-22T13:00:45.000Z,"Founded in 2012 by Mark Boucher, The Boucher Legacy aims to protect our rhinos, pangolin and other dwindling species from extinction. Find out more here:   
@WildconEvents
 @markb46
 #TheBoucherLegacy #SaveTheRhino https://boucherlegacy.co.za/about-us/",2,"Founded in 2012 by Mark Boucher, The Boucher Legacy aims to protect our rhinos, pangolin and other dwindling species from extinction. Find out more here:   
@WildconEvents
 @markb46
 #TheBoucherLegacy #SaveTheRhino https://boucherlegacy.co.za/about-us/2",,,2
The Boucher Legacy,@BoucherLegacy,2019-08-22T08:00:19.000Z,"Support The Boucher Legacy and come together to protect what is ours. Donate today!  
#TheBoucherLegacy #SaveTheRhino #SaveThePangolin #Conservation","boucherlegacy.co.za
2020 GOAL - Donate to The Boucher Legacy - Support Us
During 2019 and 2020 we aim to raise R10 million through The Boucher Legacy. We have big dreams and even bigger goals, but we can't do it without you!","Support The Boucher Legacy and come together to protect what is ours. Donate today!  
#TheBoucherLegacy #SaveTheRhino #SaveThePangolin #Conservationboucherlegacy.co.za
2020 GOAL - Donate to The Boucher Legacy - Support Us
During 2019 and 2020 we aim to raise R10 million through The Boucher Legacy. We have big dreams and even bigger goals, but we can't do it without you!",,,1
Southlands Sun,@southlandssun,2019-08-22T07:39:04.000Z,"French zoo ‘outraged’ by visitors writing names on rhino’s back | AFP | Southlands Sun http://ow.ly/pF2y30poHZr
#savetherhino 
@savetherhino","8
5","French zoo ‘outraged’ by visitors writing names on rhino’s back | AFP | Southlands Sun http://ow.ly/pF2y30poHZr
#savetherhino 
@savetherhino8
5",,8.0,5
Engineer By Chance,@bekaartweet,2019-08-22T06:59:08.000Z,"@KP24
 @ImRo45
 #SavetheRhino ","Quote Tweet
anjilee istwal
@anjileeistwal
·
Aug 22, 2019
South Africa won support of Canada n EU 2 kill more black rhinos. Logic:Trophy killing will help conserve them  https://physics-astronomy.org/2019/08/south-africa-has-just-been-granted.html…","@KP24
 @ImRo45
 #SavetheRhino Quote Tweet
anjilee istwal
@anjileeistwal
·
Aug 22, 2019
South Africa won support of Canada n EU 2 kill more black rhinos. Logic:Trophy killing will help conserve them  https://physics-astronomy.org/2019/08/south-africa-has-just-been-granted.html…",,,1
SAVE THE DOLPHINS & WHALES Ⓥ,@SavetheDolphin1,2019-08-21T21:44:39.000Z,"Documentary About Last Male Northern White Rhino To Screen In London #SaveTheRhino 

https://plantbasednews.org/culture/documentary-last-male-northern-white-rhino…",1,"Documentary About Last Male Northern White Rhino To Screen In London #SaveTheRhino 

https://plantbasednews.org/culture/documentary-last-male-northern-white-rhino…1",,1.0,
SAVE THE DOLPHINS & WHALES Ⓥ,@SavetheDolphin1,2019-08-21T21:43:47.000Z,"White rhino charges at group of tourists on South African safari #SaveTheRhino 

https://7news.com.au/news/animals/white-rhino-charges-at-group-of-tourists-on-south-african-safari-c-411322…",2,"White rhino charges at group of tourists on South African safari #SaveTheRhino 

https://7news.com.au/news/animals/white-rhino-charges-at-group-of-tourists-on-south-african-safari-c-411322…2",,,2
SAVE THE DOLPHINS & WHALES Ⓥ,@SavetheDolphin1,2019-08-21T21:42:55.000Z,"Video shows white rhino charging tour group in South Africa http://bit.ly/2NnINkz #SaveTheRhino via 
@FOX13Memphis",1,"Video shows white rhino charging tour group in South Africa http://bit.ly/2NnINkz #SaveTheRhino via 
@FOX13Memphis1",,,1
SAVE THE DOLPHINS & WHALES Ⓥ,@SavetheDolphin1,2019-08-21T21:41:12.000Z,"South Africa expands trophy-hunting permit program for black rhinos, saying it’s good for the animalshttps:// #SaveTheRhino http://washingtonpost.com/science/2019/08/21/south-africa-expands-trophy-hunting-permit-program-black-rhinos-they-argue-its-good-animals/…","2
1","South Africa expands trophy-hunting permit program for black rhinos, saying it’s good for the animalshttps:// #SaveTheRhino http://washingtonpost.com/science/2019/08/21/south-africa-expands-trophy-hunting-permit-program-black-rhinos-they-argue-its-good-animals/…2
1",,2.0,1
SAVE THE DOLPHINS & WHALES Ⓥ,@SavetheDolphin1,2019-08-21T21:39:27.000Z,"French zoo 'outraged' by visitors writing names on rhino's back #SaveTheRhino #CloseAllZoos 

https://straitstimes.com/world/europe/french-zoo-outraged-by-visitors-writing-names-on-rhinos-back…","1
1
2","French zoo 'outraged' by visitors writing names on rhino's back #SaveTheRhino #CloseAllZoos 

https://straitstimes.com/world/europe/french-zoo-outraged-by-visitors-writing-names-on-rhinos-back…1
1
2",1.0,1.0,2
SAVE THE DOLPHINS & WHALES Ⓥ,@SavetheDolphin1,2019-08-21T21:38:36.000Z,"Omaha zoo euthanizes white rhino that arrived in 1999 #SaveTheRhino #CloseAllZoos

https://citynews1130.com/2019/08/21/omaha-zoo-euthanizes-white-rhino-that-arrived-in-1999/…",1,"Omaha zoo euthanizes white rhino that arrived in 1999 #SaveTheRhino #CloseAllZoos

https://citynews1130.com/2019/08/21/omaha-zoo-euthanizes-white-rhino-that-arrived-in-1999/…1",,,1
ITD Print Solutions,@itd_print,2019-08-21T20:51:01.000Z,"Stop overpaying for the printer ink and toner you need to keep your business running. Email us today at sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#itd",,"Stop overpaying for the printer ink and toner you need to keep your business running. Email us today at sales@itdprintsolutions.com #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#itd",,,
Lee Allen,@LeeLeeallen11,2019-08-21T11:00:05.000Z,"@CyrilRamaphosa
 please help me understand why you are allowing more and more people hunt the black Rhino?? 
@KP24
 and his team are putting time money into this this daily and you are allowing the scum bags to carry on. You Cyril are a disgrace and a vile human #savetherhino",,"@CyrilRamaphosa
 please help me understand why you are allowing more and more people hunt the black Rhino?? 
@KP24
 and his team are putting time money into this this daily and you are allowing the scum bags to carry on. You Cyril are a disgrace and a vile human #savetherhino",,,
Daniel,@goffy175,2019-08-21T10:00:29.000Z,"Replying to 
@KP24
 and 
@CyrilRamaphosa","@KP24
 I hate the rich hope they die a slow painful death. #savetherhino","Replying to 
@KP24
 and 
@CyrilRamaphosa@KP24
 I hate the rich hope they die a slow painful death. #savetherhino",2.0,,1
Delta Papa,@pez_44,2019-08-21T08:41:54.000Z,All about the money with these idiots! An unbelievable and disgusting thing to grant! We need to find other methods to fund the protection of these spectacular animals #SaveTheRhino #BanTrophyHunting,"Quote Tweet
news.com.au
@newscomauHQ
·
Aug 21, 2019
South Africa has been granted permission to double the number of black rhinos that can be killed as trophies. ","All about the money with these idiots! An unbelievable and disgusting thing to grant! We need to find other methods to fund the protection of these spectacular animals #SaveTheRhino #BanTrophyHuntingQuote Tweet
news.com.au
@newscomauHQ
·
Aug 21, 2019
South Africa has been granted permission to double the number of black rhinos that can be killed as trophies. ",,,
S.P.O.T.S,@SPOTS42743819,2019-08-20T17:45:00.000Z,"South Africa, DRC, Namibia and Zimbabwe believe they should be able to sell threatened wildlife species on global markets, just like mass-produced trinkets. - https://dailymaverick.co.za/article/2019-08-19-south-africa-pushes-for-trade-in-endangered-wildlife/… #savetherhino #poaching #conservation","dailymaverick.co.za
OP-ED: South Africa pushes for trade in endangered wildlife
South Africa, DRC, Namibia and Zimbabwe believe they should be able to sell threatened wildlife species on global markets, just like mass-produced trinkets.","South Africa, DRC, Namibia and Zimbabwe believe they should be able to sell threatened wildlife species on global markets, just like mass-produced trinkets. - https://dailymaverick.co.za/article/2019-08-19-south-africa-pushes-for-trade-in-endangered-wildlife/… #savetherhino #poaching #conservationdailymaverick.co.za
OP-ED: South Africa pushes for trade in endangered wildlife
South Africa, DRC, Namibia and Zimbabwe believe they should be able to sell threatened wildlife species on global markets, just like mass-produced trinkets.",,3.0,1
Luciano,@JoongWu,2019-08-20T15:46:00.000Z,"Replying to 
@gooosy",#SaveTheRhino #BanIvoryIllegalTrade #StopSlaugtherWildilife #SaveAfrica,"Replying to 
@gooosy#SaveTheRhino #BanIvoryIllegalTrade #StopSlaugtherWildilife #SaveAfrica",,,1
MK Illumination UK,@mk_illumination,2019-08-20T09:00:01.000Z,"MK's glittering #Rhino #lightsculpture for 
@SandtonCity
 was designed to raise #awareness and funds to support this #endangeredspecies. 

#mkillumination #mkilluminationuk #lightingdesign #charity #collaboration #savetherhino #businessawareness #environment",,"MK's glittering #Rhino #lightsculpture for 
@SandtonCity
 was designed to raise #awareness and funds to support this #endangeredspecies. 

#mkillumination #mkilluminationuk #lightingdesign #charity #collaboration #savetherhino #businessawareness #environment",,,
ITD Print Solutions,@itd_print,2019-08-19T19:20:19.000Z,"Quality ink and toner at a price that makes you smile!  Try Rhinotek and email us at sales@itdprintsolutions.com today! #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality",,"Quality ink and toner at a price that makes you smile!  Try Rhinotek and email us at sales@itdprintsolutions.com today! #womanowned
#rhinotek
#savetherhino
#savemoney
#compatibletoner
#oemtoner
#inkjet
#jumbotoner
#printercartridge
#itdprintsolutions
#costperpage
#printquality",,,
Mel Brooks,@Mel_BrooksSA,2019-08-19T16:40:06.000Z,"I’ll believe that when I see results. Follow 
@SPOTS42743819
 to keep informed about Rhino poaching. #savetherhino","Quote Tweet
ISS
@issafrica
·
Aug 19, 2019
ISS Today by @ENACT_Africa http://ow.ly/aXf950vBF3S","I’ll believe that when I see results. Follow 
@SPOTS42743819
 to keep informed about Rhino poaching. #savetherhinoQuote Tweet
ISS
@issafrica
·
Aug 19, 2019
ISS Today by @ENACT_Africa http://ow.ly/aXf950vBF3S",,,
Victorious2,@CraigEv27362003,2019-08-19T01:42:02.000Z,"Rhino Tree Silhouette | Save The Rhino Computer Sleeve https://zazzle.com/rhino_tree_silhouette_save_the_rhino_computer_sleeve-124589474704697747… via 
@zazzle
 #rhino #rhinoceros #animals #nature #trees #forest #savannah #savetherhino #rare #endangered #bigfive #conservation #wildlife #wild #fauna #threatened #rare #mammal #african #electronics",3,"Rhino Tree Silhouette | Save The Rhino Computer Sleeve https://zazzle.com/rhino_tree_silhouette_save_the_rhino_computer_sleeve-124589474704697747… via 
@zazzle
 #rhino #rhinoceros #animals #nature #trees #forest #savannah #savetherhino #rare #endangered #bigfive #conservation #wildlife #wild #fauna #threatened #rare #mammal #african #electronics3",,,3
S.P.O.T.S,@SPOTS42743819,2019-08-18T19:25:00.000Z,"Hawks bust rhino horn syndicate operating in Gauteng, South Africa - https://thesouthafrican.com/news/hawks-bust-rhino-horn-syndicate-operating-in-gauteng/… #savetherhino #poaching #conservation","thesouthafrican.com
Hawks bust rhino horn syndicate operating in Gauteng
The Hawks have arrested three men believed to be at the head of a rhino horn trafficking syndicate operating in Gauteng and Mpumalanga.","Hawks bust rhino horn syndicate operating in Gauteng, South Africa - https://thesouthafrican.com/news/hawks-bust-rhino-horn-syndicate-operating-in-gauteng/… #savetherhino #poaching #conservationthesouthafrican.com
Hawks bust rhino horn syndicate operating in Gauteng
The Hawks have arrested three men believed to be at the head of a rhino horn trafficking syndicate operating in Gauteng and Mpumalanga.",,3.0,6
S.P.O.T.S,@SPOTS42743819,2019-08-18T19:05:00.000Z,Communication on rhino poaching: Precautionary lessons about backfires and boomerangs - http://scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532019000200012&lng=en&nrm=iso&tlng=en… #savetherhino #poaching #conservation,"2
1","Communication on rhino poaching: Precautionary lessons about backfires and boomerangs - http://scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532019000200012&lng=en&nrm=iso&tlng=en… #savetherhino #poaching #conservation2
1",,2.0,1
S.P.O.T.S,@SPOTS42743819,2019-08-18T18:40:00.000Z,Rhino poaching undermines rural communities - https://wwf.org.za/our_news/news/?24021/Reaction-to-rhino-poaching-statistics-2017… #savetherhino #poaching #conservation,"1
1","Rhino poaching undermines rural communities - https://wwf.org.za/our_news/news/?24021/Reaction-to-rhino-poaching-statistics-2017… #savetherhino #poaching #conservation1
1",,1.0,1
S.P.O.T.S,@SPOTS42743819,2019-08-18T18:20:00.000Z,CITES RHINO FILES: Death or glory for species on the ban wagon? - https://dailymaverick.co.za/special-investigation/cites_rhino_files/… #savetherhino #poaching #conservation,1,CITES RHINO FILES: Death or glory for species on the ban wagon? - https://dailymaverick.co.za/special-investigation/cites_rhino_files/… #savetherhino #poaching #conservation1,,1.0,
Layla Khoo,@KhooLayla,2019-08-18T18:03:46.000Z,"A brief glimpse into the making of 5000 porcelain rhino horns for forthcoming installation 
@NunningtonHall
#changeinattitudes 
#rethinkceramics 
#wip
#nationaltrust 
#savetherhino 
#acesuppported 

Project supported by 
@ace_national
 And 
@ValentineClays",,"A brief glimpse into the making of 5000 porcelain rhino horns for forthcoming installation 
@NunningtonHall
#changeinattitudes 
#rethinkceramics 
#wip
#nationaltrust 
#savetherhino 
#acesuppported 

Project supported by 
@ace_national
 And 
@ValentineClays",,1.0,5
Seb (travelcomments),@travelcomments,2019-08-16T12:50:57.000Z,Zimbabwe: Gonarezhou National Park to reintroduce black rhinos in 2020! https://umhambi.blogspot.com/2019/03/zimbabwe-gonarezhou-national-park-to.html… #SaveTheRhino #Zimbabwe,"1
1","Zimbabwe: Gonarezhou National Park to reintroduce black rhinos in 2020! https://umhambi.blogspot.com/2019/03/zimbabwe-gonarezhou-national-park-to.html… #SaveTheRhino #Zimbabwe1
1",,1.0,1
Seb (travelcomments),@travelcomments,2019-08-16T12:50:21.000Z,South Africa: New rhino poaching figures (January - June 2019)! https://umhambi.blogspot.com/2019/07/south-africa-new-rhino-poaching-figures.html… #SaveTheRhino #SouthAfrica,,South Africa: New rhino poaching figures (January - June 2019)! https://umhambi.blogspot.com/2019/07/south-africa-new-rhino-poaching-figures.html… #SaveTheRhino #SouthAfrica,,,
allAfrica.com,@allafrica,2019-08-16T12:14:41.000Z,"Alleged Rhino Horn Syndicate Masterminds Arrested 
@News24
 : https://allafrica.com/stories/201908160095.html?utm_campaign=allafrica%3Aeditor&utm_medium=social&utm_source=twitter&utm_content=promote%3Aaans%3Aablfpu… #SouthAfrica #legal #SavetheRhino #Wildlife #Poaching",,"Alleged Rhino Horn Syndicate Masterminds Arrested 
@News24
 : https://allafrica.com/stories/201908160095.html?utm_campaign=allafrica%3Aeditor&utm_medium=social&utm_source=twitter&utm_content=promote%3Aaans%3Aablfpu… #SouthAfrica #legal #SavetheRhino #Wildlife #Poaching",,1.0,4
Mankwe Gametrackers,@mankwegametrack,2019-08-16T08:00:03.000Z,"Every Rhino is important, Rhino Friday is a reminder of this
#MankweGAMETRACKERS #Welcometoouroffice  #RhinoFriday #Stopthepoaching #savetherhino #bigfive #big5 #whiterhino",,"Every Rhino is important, Rhino Friday is a reminder of this
#MankweGAMETRACKERS #Welcometoouroffice  #RhinoFriday #Stopthepoaching #savetherhino #bigfive #big5 #whiterhino",,,3
S.P.O.T.S,@SPOTS42743819,2019-08-15T19:35:00.000Z,"What do Thai lap dancers, Vietnamese criminals, wealthy Chinese, poor Mozambicans, ex-cops from South Africa and North Korean diplomats have to do with the demise of the African rhinoceros? - https://bbc.co.uk/news/resources/idt-sh/rhino_poaching… #savetherhino","3
2","What do Thai lap dancers, Vietnamese criminals, wealthy Chinese, poor Mozambicans, ex-cops from South Africa and North Korean diplomats have to do with the demise of the African rhinoceros? - https://bbc.co.uk/news/resources/idt-sh/rhino_poaching… #savetherhino3
2",,3.0,2
S.P.O.T.S,@SPOTS42743819,2019-08-15T19:05:00.000Z,Rhino poaching arrests in Kruger National Park - https://defenceweb.co.za/featured/rhino-poaching-arrests-in-kruger/… #savetherhino #poaching #conservation,"defenceweb.co.za
Rhino poaching arrests in Kruger - defenceWeb
Three hundred and sixty-six arrests in connection with rhino poaching were made in the iconic Kruger National Park in the 18 month period ending 31 July this year. This was revealed by Minister of...","Rhino poaching arrests in Kruger National Park - https://defenceweb.co.za/featured/rhino-poaching-arrests-in-kruger/… #savetherhino #poaching #conservationdefenceweb.co.za
Rhino poaching arrests in Kruger - defenceWeb
Three hundred and sixty-six arrests in connection with rhino poaching were made in the iconic Kruger National Park in the 18 month period ending 31 July this year. This was revealed by Minister of...",1.0,2.0,1
